INSERT INTO `gado` (`id`, `codigo`, `leite`, `racao`, `peso`, `situacao`, `nascimento`) VALUES
(7392, 535259, 4.48, 227, 525, 2, '2014-11-05'),
(3112, 600892, 59.21, 232, 1035, 2, '2021-08-14'),
(7417, 754895, 181.42, 462, 270, 0, '2018-12-15'),
(2158, 155057, 74.43, 347, 1006, 3, '2013-05-28'),
(9336, 416803, 118.44, 441, 658, 2, '2010-05-19'),
(102, 504946, 106.44, 130, 396, 1, '2017-03-21'),
(5767, 276807, 111.21, 370, 438, 3, '2021-06-07'),
(2372, 864973, 27.35, 4, 1235, 0, '2015-03-19'),
(2022, 14803, 150.95, 478, 1364, 1, '2016-04-24'),
(1476, 835678, 68.28, 41, 260, 1, '2015-06-16'),
(1243, 693790, 163.16, 305, 1277, 1, '2014-01-24'),
(4665, 341624, 121.06, 16, 905, 2, '2019-11-08'),
(6123, 603131, 176.66, 135, 1051, 1, '2021-01-24'),
(5603, 48881, 63.81, 110, 1271, 2, '2012-11-28'),
(6382, 150591, 141.33, 130, 1151, 2, '2016-05-03'),
(9254, 327388, 154.37, 449, 1001, 1, '2014-07-04'),
(3913, 668539, 98.29, 165, 590, 0, '2013-11-18'),
(1016, 878809, 125.91, 479, 813, 0, '2014-05-06'),
(7996, 99345, 10.01, 328, 1374, 2, '2013-12-03'),
(9792, 961189, 24.9, 281, 1087, 3, '2022-07-04'),
(4417, 60133, 155.0, 252, 1190, 2, '2018-12-21'),
(3326, 875628, 12.55, 454, 789, 1, '2012-12-02'),
(1684, 238132, 140.45, 295, 1122, 1, '2015-05-28'),
(347, 245966, 44.18, 147, 953, 0, '2020-06-11'),
(650, 739213, 71.3, 311, 356, 0, '2020-08-29'),
(7485, 927305, 14.38, 438, 525, 0, '2020-01-10'),
(3713, 534307, 52.22, 494, 787, 2, '2016-01-28'),
(8286, 688094, 179.92, 323, 1342, 2, '2018-11-25'),
(3811, 769957, 116.58, 214, 1118, 1, '2023-04-04'),
(4622, 249181, 134.01, 470, 1119, 3, '2013-08-04'),
(6832, 92347, 62.14, 129, 441, 1, '2018-04-02'),
(4125, 486227, 96.13, 436, 326, 3, '2019-07-03'),
(8522, 285733, 106.96, 91, 1142, 2, '2019-08-19'),
(8482, 834528, 15.76, 253, 876, 0, '2023-02-09'),
(6182, 751518, 104.43, 377, 1320, 3, '2010-01-11'),
(5799, 724257, 139.71, 285, 541, 3, '2020-03-26'),
(662, 109720, 118.92, 432, 1183, 1, '2016-12-08'),
(9211, 978803, 81.72, 82, 1184, 1, '2010-01-26'),
(1603, 348826, 153.97, 87, 400, 3, '2019-06-15'),
(8812, 221479, 4.93, 101, 1127, 1, '2021-07-21'),
(3516, 356657, 108.91, 350, 698, 0, '2015-02-10'),
(6506, 884859, 32.98, 246, 356, 2, '2013-07-14'),
(2795, 774443, 12.57, 374, 593, 1, '2022-04-08'),
(4667, 109086, 99.6, 311, 697, 3, '2011-11-26'),
(1783, 946152, 141.38, 342, 849, 1, '2019-08-05'),
(6381, 424635, 84.82, 97, 975, 2, '2014-07-28'),
(10001, 608941, 105.95, 150, 1157, 2, '2022-07-17'),
(4692, 694461, 71.72, 264, 1080, 3, '2010-03-16'),
(3755, 733440, 1.72, 487, 417, 1, '2013-05-11'),
(5208, 879368, 177.88, 201, 927, 0, '2016-08-21'),
(6115, 314239, 152.23, 476, 1210, 2, '2012-11-07'),
(3646, 800600, 47.26, 143, 1162, 1, '2022-12-06'),
(2415, 411553, 31.93, 27, 747, 3, '2021-03-11'),
(5785, 685782, 180.67, 417, 167, 1, '2014-01-22'),
(3258, 83535, 130.33, 420, 966, 0, '2018-02-03'),
(475, 632834, 102.24, 175, 642, 3, '2019-12-15'),
(4059, 707444, 154.68, 374, 266, 0, '2020-02-13'),
(1261, 635119, 98.04, 236, 1258, 1, '2021-10-15'),
(5568, 608176, 67.54, 76, 634, 0, '2016-02-15'),
(9913, 698517, 150.89, 443, 1277, 2, '2019-01-01'),
(3456, 198402, 23.21, 265, 304, 2, '2015-01-29'),
(5276, 144511, 77.46, 118, 526, 3, '2019-05-15'),
(9011, 192578, 100.71, 380, 277, 3, '2019-04-01'),
(4088, 544430, 101.43, 277, 310, 0, '2011-04-03'),
(9925, 830047, 68.68, 136, 1092, 3, '2023-07-29'),
(7373, 131520, 94.11, 343, 176, 1, '2019-06-16'),
(6890, 112594, 46.35, 182, 409, 3, '2020-08-31'),
(6255, 905316, 164.48, 460, 1315, 2, '2021-04-29'),
(5104, 944070, 147.67, 182, 526, 0, '2017-01-31'),
(8266, 101406, 117.3, 156, 1386, 3, '2012-12-08'),
(5450, 994317, 27.63, 118, 776, 0, '2022-03-08'),
(148, 104909, 18.06, 396, 1226, 3, '2015-06-07'),
(5584, 576121, 132.15, 469, 356, 0, '2013-05-14'),
(2026, 558154, 142.97, 297, 767, 2, '2022-06-05'),
(3236, 565646, 13.79, 335, 295, 1, '2019-07-02'),
(7131, 123933, 45.97, 434, 1218, 0, '2013-12-13'),
(4986, 765584, 106.6, 49, 1327, 0, '2023-11-07'),
(9361, 406638, 80.27, 437, 494, 1, '2017-01-28'),
(8684, 35056, 83.55, 193, 1313, 3, '2014-12-19'),
(8932, 409918, 173.12, 69, 388, 0, '2020-10-08'),
(6202, 299964, 21.81, 4, 628, 1, '2013-06-24'),
(2077, 553298, 19.06, 366, 230, 2, '2010-10-06'),
(7386, 469547, 6.68, 161, 162, 3, '2014-01-28'),
(4807, 321447, 36.71, 212, 1307, 3, '2020-08-20'),
(9674, 969376, 139.6, 304, 837, 0, '2013-11-08'),
(1667, 839887, 44.86, 127, 489, 0, '2022-03-05'),
(4579, 829059, 183.47, 148, 572, 0, '2022-09-09'),
(3827, 948131, 25.27, 212, 710, 0, '2016-12-17'),
(8840, 928199, 133.72, 216, 574, 3, '2017-08-28'),
(3484, 921284, 9.42, 492, 951, 1, '2018-02-16'),
(3870, 671704, 137.95, 441, 344, 3, '2013-10-16'),
(3318, 344641, 155.1, 268, 277, 1, '2021-03-15'),
(9379, 135814, 90.93, 306, 1316, 1, '2011-06-13'),
(4061, 184628, 145.14, 385, 1022, 1, '2015-06-15'),
(450, 96901, 160.05, 55, 1213, 0, '2012-01-03'),
(8918, 846719, 141.15, 85, 1273, 1, '2010-09-19'),
(653, 958843, 106.47, 323, 1073, 0, '2018-07-26'),
(5981, 858130, 180.65, 494, 188, 1, '2020-12-15'),
(4333, 176809, 31.2, 387, 848, 3, '2016-03-04'),
(2326, 639575, 176.67, 25, 1221, 2, '2017-10-24'),
(933, 982267, 72.74, 209, 162, 3, '2016-09-12'),
(6238, 253670, 9.71, 192, 972, 0, '2010-09-19'),
(4238, 320713, 56.78, 176, 1169, 3, '2023-09-28'),
(795, 867019, 138.72, 161, 182, 1, '2023-02-20'),
(9742, 37517, 68.51, 117, 446, 1, '2013-05-08'),
(5502, 899624, 147.6, 310, 1375, 1, '2013-08-30'),
(1469, 455583, 105.63, 344, 1132, 1, '2019-05-13'),
(5401, 634182, 38.23, 387, 1028, 1, '2021-01-26'),
(6667, 147050, 114.19, 403, 582, 3, '2020-11-13'),
(7339, 266090, 57.9, 137, 1123, 2, '2019-01-24'),
(2484, 527978, 100.2, 440, 439, 1, '2012-12-29'),
(2831, 706846, 151.79, 157, 732, 0, '2019-03-14'),
(6611, 92083, 56.84, 264, 511, 0, '2017-10-22'),
(9354, 459260, 63.0, 219, 1065, 2, '2010-07-09'),
(4295, 741161, 155.75, 58, 197, 0, '2018-01-01'),
(4870, 375619, 129.26, 60, 824, 1, '2022-01-07'),
(6391, 232502, 144.52, 434, 938, 3, '2013-10-15'),
(6149, 422917, 8.74, 47, 195, 2, '2016-11-08'),
(9242, 237002, 102.2, 436, 509, 3, '2021-05-02'),
(1541, 7389, 3.62, 385, 1373, 2, '2015-07-30'),
(7009, 112641, 88.17, 218, 1202, 3, '2018-03-05'),
(1264, 930392, 93.22, 370, 530, 3, '2013-06-02'),
(1307, 297229, 139.82, 63, 626, 2, '2019-01-11'),
(2675, 945075, 45.16, 431, 1122, 0, '2019-11-14'),
(8577, 50310, 136.6, 59, 406, 1, '2013-02-20'),
(9964, 365329, 21.15, 92, 213, 3, '2018-02-02'),
(5086, 594020, 166.68, 386, 199, 2, '2010-07-10'),
(2410, 706461, 172.18, 150, 420, 1, '2011-04-09'),
(1239, 242264, 119.92, 148, 931, 1, '2020-09-15'),
(2850, 945531, 1.09, 252, 775, 3, '2012-03-20'),
(4529, 3122, 7.04, 148, 162, 3, '2019-04-02'),
(2242, 384663, 59.07, 471, 936, 2, '2014-05-02'),
(3148, 255472, 104.24, 267, 610, 2, '2018-02-27'),
(4526, 648554, 153.69, 139, 700, 1, '2015-05-07'),
(79, 859250, 184.98, 50, 949, 0, '2012-02-03'),
(9196, 406740, 121.53, 63, 610, 2, '2019-02-25'),
(5969, 288649, 172.68, 498, 861, 3, '2018-06-26'),
(1524, 420160, 106.32, 373, 655, 0, '2011-03-01'),
(2722, 808513, 31.37, 415, 325, 1, '2010-01-16'),
(7817, 754021, 142.98, 466, 775, 1, '2013-03-30'),
(3800, 591476, 58.22, 86, 1181, 0, '2016-01-22'),
(4990, 669499, 82.62, 131, 774, 1, '2015-04-07'),
(7088, 100054, 69.05, 417, 1058, 3, '2012-02-23'),
(243, 93848, 103.81, 103, 721, 3, '2019-02-23'),
(6803, 546873, 49.5, 410, 1399, 0, '2020-12-10'),
(9520, 988990, 115.65, 278, 680, 0, '2022-06-25'),
(3559, 661673, 78.86, 36, 278, 3, '2019-01-12'),
(1403, 637330, 146.73, 255, 245, 0, '2010-02-18'),
(1157, 424194, 185.47, 451, 477, 1, '2014-11-02'),
(8349, 122295, 83.61, 72, 212, 2, '2011-03-11'),
(7735, 482521, 185.96, 303, 1407, 1, '2012-02-04'),
(7805, 786681, 19.65, 376, 525, 3, '2012-05-03'),
(934, 525103, 65.51, 171, 414, 0, '2023-05-19'),
(8737, 766569, 14.54, 240, 1050, 0, '2011-08-17'),
(2625, 727216, 183.21, 257, 559, 1, '2015-03-22'),
(928, 14329, 77.75, 441, 1078, 1, '2012-11-06'),
(1991, 712281, 22.0, 215, 1194, 2, '2020-03-19'),
(7686, 840733, 171.12, 128, 821, 1, '2016-09-17'),
(3551, 129166, 184.03, 209, 1261, 1, '2014-01-08'),
(6777, 745250, 82.17, 408, 1309, 2, '2020-02-21'),
(2870, 181510, 145.22, 332, 1173, 1, '2019-06-14'),
(5586, 277977, 22.87, 49, 1119, 0, '2020-11-09'),
(7921, 634817, 58.92, 114, 479, 0, '2016-09-03'),
(1190, 364081, 72.32, 79, 1313, 3, '2017-06-24'),
(4007, 558905, 120.95, 455, 570, 3, '2016-11-24'),
(8890, 698041, 86.89, 372, 1045, 3, '2016-07-22'),
(6936, 7030, 141.72, 98, 1216, 1, '2013-04-09'),
(6194, 562241, 19.4, 124, 742, 3, '2011-10-31'),
(1936, 96853, 14.61, 468, 1062, 2, '2023-09-01'),
(4040, 20717, 124.03, 146, 921, 1, '2023-03-08'),
(6043, 420503, 115.56, 114, 253, 3, '2015-11-11'),
(8018, 937637, 131.06, 338, 702, 1, '2013-07-11'),
(8700, 874795, 18.13, 399, 200, 3, '2023-03-28'),
(2013, 816499, 113.82, 328, 852, 1, '2014-06-05'),
(2889, 636011, 10.18, 410, 1163, 0, '2020-06-28'),
(563, 825266, 67.71, 414, 393, 2, '2014-08-22'),
(1501, 142516, 27.87, 416, 1142, 3, '2023-12-27'),
(6497, 610434, 123.86, 247, 469, 1, '2021-03-20'),
(9268, 925436, 78.0, 167, 494, 0, '2018-05-23'),
(4777, 26445, 96.26, 60, 727, 2, '2010-09-18'),
(4118, 746548, 126.99, 61, 1005, 2, '2011-05-30'),
(9482, 55843, 48.78, 194, 875, 1, '2021-07-19'),
(9988, 104999, 16.13, 200, 468, 2, '2011-06-06'),
(6062, 751364, 168.66, 66, 1283, 1, '2011-08-02'),
(3504, 341857, 136.43, 490, 591, 0, '2023-11-18'),
(7221, 912611, 41.92, 204, 1067, 2, '2023-06-13'),
(7826, 883247, 30.67, 160, 1169, 2, '2011-04-18'),
(314, 23904, 157.75, 484, 345, 3, '2016-05-29'),
(2303, 461098, 114.58, 418, 192, 0, '2013-10-09'),
(7060, 937076, 132.74, 210, 901, 0, '2013-11-10'),
(1605, 791976, 5.47, 220, 1323, 0, '2015-05-03'),
(3568, 296022, 23.89, 30, 664, 1, '2011-10-22'),
(9829, 506101, 44.89, 377, 992, 0, '2016-07-25'),
(4263, 519782, 50.81, 455, 346, 1, '2022-08-09'),
(8925, 245617, 103.34, 431, 1183, 3, '2012-02-28'),
(3688, 107023, 174.54, 2, 908, 3, '2022-12-26'),
(6301, 205013, 59.67, 374, 914, 3, '2013-06-02'),
(235, 416418, 41.85, 223, 226, 0, '2014-01-17'),
(6015, 182922, 109.8, 310, 365, 0, '2011-08-24'),
(5139, 11288, 105.99, 47, 177, 3, '2020-11-14'),
(6477, 457319, 65.62, 261, 948, 0, '2014-07-15'),
(7824, 100605, 77.54, 346, 604, 1, '2010-06-27'),
(980, 499798, 121.33, 381, 317, 0, '2016-08-26'),
(7038, 301384, 60.53, 382, 884, 0, '2020-01-12'),
(7695, 250357, 129.67, 61, 502, 1, '2023-06-22'),
(722, 796807, 74.76, 334, 373, 0, '2021-08-13'),
(2614, 860408, 141.99, 268, 233, 2, '2022-12-05'),
(7453, 435700, 145.86, 115, 183, 2, '2017-10-17'),
(4519, 442611, 129.87, 115, 361, 3, '2010-03-26'),
(2239, 738526, 1.96, 310, 354, 2, '2010-08-23'),
(6361, 348479, 77.29, 428, 1190, 2, '2022-10-09'),
(1773, 518537, 10.48, 472, 1030, 0, '2018-06-25'),
(9306, 573508, 95.45, 327, 350, 1, '2015-09-06'),
(7426, 939022, 56.23, 492, 638, 0, '2011-07-25'),
(8232, 897975, 104.13, 14, 1188, 1, '2013-12-19'),
(1484, 539531, 137.41, 350, 391, 2, '2010-01-14'),
(8424, 815013, 131.57, 417, 498, 1, '2012-01-27'),
(1369, 554438, 62.4, 228, 983, 3, '2017-05-07'),
(4179, 724719, 119.77, 160, 1165, 3, '2016-06-19'),
(443, 981224, 122.17, 417, 968, 0, '2016-07-30'),
(3635, 970408, 144.43, 11, 1138, 2, '2017-11-13'),
(3420, 860604, 8.06, 131, 882, 1, '2020-02-26'),
(3818, 253385, 176.33, 385, 1067, 2, '2010-10-20'),
(3315, 573965, 14.56, 192, 749, 3, '2014-06-14'),
(6272, 112589, 66.74, 37, 1278, 3, '2019-05-04'),
(6429, 643113, 96.67, 226, 668, 0, '2016-04-08'),
(3485, 293980, 26.43, 83, 184, 2, '2022-03-13'),
(8929, 109792, 8.57, 395, 378, 1, '2013-01-01'),
(4166, 194888, 121.17, 430, 1082, 1, '2012-12-23'),
(9214, 122558, 61.27, 389, 495, 2, '2017-12-01'),
(935, 387648, 177.84, 342, 1035, 3, '2017-11-16'),
(4810, 309665, 124.95, 472, 287, 3, '2022-08-23'),
(3947, 791572, 35.34, 238, 734, 1, '2018-03-07'),
(8314, 687918, 129.46, 344, 1125, 3, '2020-11-14'),
(5637, 219934, 160.73, 106, 769, 2, '2010-01-20'),
(1604, 691280, 185.57, 401, 1132, 3, '2012-11-19'),
(7102, 640827, 92.09, 135, 330, 3, '2012-12-21'),
(8542, 489694, 9.15, 226, 415, 2, '2013-08-08'),
(3419, 983124, 163.16, 459, 1089, 1, '2011-01-03'),
(4668, 770252, 102.78, 500, 445, 0, '2013-09-08'),
(6898, 532042, 11.89, 471, 1203, 1, '2010-11-26'),
(309, 606031, 162.72, 180, 906, 2, '2011-02-27'),
(3643, 77058, 82.95, 150, 462, 3, '2016-02-17'),
(6171, 195893, 2.18, 438, 255, 3, '2010-11-15'),
(4012, 873538, 4.81, 189, 321, 0, '2017-01-03'),
(6204, 481412, 102.42, 267, 1154, 2, '2020-01-08'),
(2679, 180215, 112.57, 81, 1305, 2, '2016-03-14'),
(2729, 502624, 50.97, 137, 764, 3, '2020-06-15'),
(7548, 97062, 25.54, 445, 514, 3, '2022-12-12'),
(8668, 42559, 129.29, 367, 817, 2, '2018-02-11'),
(3760, 480448, 146.56, 63, 1127, 3, '2016-10-26'),
(788, 313654, 162.55, 192, 181, 0, '2015-10-04'),
(1086, 694008, 166.59, 98, 213, 0, '2019-04-22'),
(3651, 623171, 12.49, 370, 964, 3, '2022-10-31'),
(4174, 253272, 139.21, 124, 723, 3, '2012-11-23'),
(7997, 200055, 183.85, 466, 359, 1, '2019-05-19'),
(2375, 974659, 118.13, 321, 1026, 1, '2017-04-07'),
(4078, 493997, 156.15, 73, 842, 2, '2023-05-21'),
(804, 808297, 42.43, 333, 1141, 2, '2019-04-14'),
(8398, 939781, 132.88, 316, 165, 0, '2018-08-04'),
(3408, 16411, 124.87, 183, 506, 0, '2012-05-01'),
(4612, 541845, 97.34, 211, 193, 3, '2020-05-30'),
(212, 831796, 170.08, 96, 211, 3, '2021-07-07'),
(307, 780169, 67.15, 223, 1380, 3, '2020-09-23'),
(8613, 421796, 7.64, 119, 527, 2, '2018-12-30'),
(332, 764233, 185.59, 304, 617, 0, '2019-01-07'),
(4082, 165550, 39.03, 301, 616, 2, '2015-10-30'),
(6075, 79277, 122.01, 242, 779, 2, '2017-06-20'),
(4200, 531851, 83.81, 441, 636, 1, '2015-04-18'),
(1668, 957067, 107.38, 418, 180, 2, '2014-12-30'),
(6959, 422153, 132.6, 213, 173, 0, '2023-03-13'),
(9564, 20820, 74.42, 165, 967, 1, '2012-02-08'),
(9552, 965512, 179.09, 350, 991, 0, '2015-06-03'),
(47, 420026, 42.18, 342, 799, 2, '2018-03-17'),
(6893, 827965, 166.77, 238, 1108, 2, '2020-02-09'),
(3374, 645111, 125.29, 74, 299, 1, '2011-12-26'),
(9009, 97380, 156.0, 75, 1135, 0, '2011-11-23'),
(360, 860389, 176.28, 114, 1361, 1, '2021-06-29'),
(864, 729384, 139.01, 169, 987, 1, '2013-05-24'),
(7750, 97700, 114.12, 232, 952, 1, '2010-05-08'),
(9084, 385291, 102.3, 93, 567, 3, '2011-03-29'),
(3880, 726430, 97.23, 104, 1039, 2, '2018-07-02'),
(6076, 913916, 157.85, 25, 1256, 2, '2021-11-01'),
(4165, 49056, 43.39, 48, 514, 3, '2015-05-27'),
(5379, 81510, 104.84, 261, 225, 1, '2021-06-14'),
(877, 272585, 175.94, 318, 1118, 0, '2018-05-25'),
(2171, 648224, 103.3, 287, 1283, 3, '2016-05-05'),
(2063, 89182, 183.42, 103, 701, 0, '2022-01-16'),
(7143, 153585, 67.6, 417, 661, 1, '2018-09-04'),
(5923, 134664, 133.76, 352, 722, 1, '2018-09-17'),
(8782, 525303, 85.26, 324, 712, 1, '2011-03-17'),
(8121, 870387, 34.29, 206, 679, 1, '2017-02-21'),
(7374, 726508, 111.57, 174, 1050, 3, '2013-03-24'),
(2952, 773904, 56.13, 403, 558, 3, '2015-01-26'),
(5533, 45496, 144.17, 397, 350, 0, '2023-12-27'),
(2523, 398538, 87.09, 199, 791, 1, '2017-10-01'),
(6876, 571189, 144.29, 2, 466, 3, '2017-04-06'),
(9592, 824472, 144.31, 93, 1244, 1, '2017-01-30'),
(1787, 553026, 139.23, 100, 640, 0, '2020-06-10'),
(9786, 139661, 177.76, 155, 1116, 0, '2015-07-07'),
(4271, 636399, 52.42, 219, 932, 2, '2022-07-05'),
(3885, 311293, 11.45, 162, 817, 0, '2019-01-18'),
(7280, 689638, 125.12, 353, 355, 0, '2017-11-22'),
(3364, 538015, 58.58, 239, 478, 0, '2020-01-12'),
(7370, 879297, 135.18, 173, 270, 0, '2021-12-12'),
(8649, 594493, 31.84, 273, 1379, 0, '2010-12-20'),
(7564, 460092, 4.52, 215, 912, 0, '2022-02-03'),
(5169, 66050, 153.6, 330, 959, 1, '2017-11-30'),
(4753, 348715, 117.67, 366, 895, 0, '2016-10-30'),
(8372, 725533, 71.81, 47, 1081, 3, '2018-07-01'),
(1407, 766455, 72.35, 22, 1017, 3, '2011-04-21'),
(5771, 928606, 69.38, 410, 1260, 3, '2022-12-09'),
(5243, 482729, 8.67, 247, 795, 2, '2013-11-30'),
(1287, 828543, 62.21, 8, 345, 2, '2023-04-17'),
(37, 399740, 73.83, 16, 404, 0, '2022-07-02'),
(2686, 405259, 5.55, 210, 415, 2, '2020-12-13'),
(1327, 334482, 39.98, 187, 558, 3, '2018-01-17'),
(8573, 884881, 60.89, 117, 330, 2, '2020-02-09'),
(1960, 360859, 107.2, 129, 1377, 2, '2014-06-30'),
(9847, 519108, 172.06, 229, 473, 2, '2014-09-04'),
(6392, 275980, 37.94, 252, 788, 0, '2022-01-08'),
(1870, 80626, 35.74, 377, 1081, 0, '2020-06-25'),
(7527, 155800, 55.4, 255, 220, 3, '2018-10-08'),
(9455, 484855, 113.02, 451, 1067, 3, '2016-09-07'),
(7641, 405876, 104.99, 84, 742, 1, '2019-09-17'),
(2757, 970373, 1.43, 208, 324, 3, '2016-11-16'),
(7006, 500028, 137.68, 475, 955, 3, '2016-09-24'),
(4826, 636081, 74.2, 340, 1215, 2, '2010-10-22'),
(1244, 76924, 12.86, 366, 1201, 3, '2016-04-19'),
(4839, 605817, 42.88, 494, 359, 3, '2012-11-26'),
(2388, 44433, 184.57, 394, 1373, 3, '2017-04-29'),
(1707, 626262, 40.78, 48, 783, 2, '2022-12-08'),
(8911, 272144, 161.03, 446, 421, 3, '2012-06-03'),
(6601, 23489, 6.84, 473, 470, 3, '2018-02-02'),
(1979, 330859, 137.44, 258, 624, 0, '2016-07-09'),
(9426, 596539, 128.33, 457, 261, 0, '2018-12-16'),
(3541, 757614, 62.56, 445, 564, 3, '2018-01-27'),
(3830, 699864, 133.79, 162, 619, 0, '2012-03-05'),
(4464, 254841, 94.96, 381, 395, 1, '2019-10-25'),
(5366, 424729, 158.53, 194, 1366, 2, '2020-09-20'),
(334, 604777, 61.84, 281, 1027, 0, '2014-02-10'),
(2510, 866314, 137.57, 497, 782, 2, '2014-09-24'),
(2872, 231424, 4.0, 417, 979, 3, '2020-06-11'),
(9108, 701732, 106.99, 425, 310, 0, '2022-09-26'),
(5375, 138948, 175.55, 400, 1337, 0, '2020-05-04'),
(1796, 878174, 135.81, 315, 1188, 0, '2022-08-08'),
(5278, 55216, 28.25, 42, 376, 0, '2020-08-31'),
(5749, 979612, 8.39, 257, 306, 2, '2018-12-25'),
(2002, 679318, 34.22, 41, 1358, 3, '2018-11-23'),
(6145, 446520, 90.4, 112, 782, 3, '2015-08-24'),
(4449, 284008, 2.06, 335, 567, 1, '2023-06-03'),
(5750, 435529, 150.94, 398, 1118, 2, '2017-11-01'),
(1655, 481403, 94.84, 345, 220, 3, '2010-07-11'),
(7749, 137506, 182.61, 492, 1120, 0, '2010-04-02'),
(8863, 939230, 83.23, 427, 1250, 0, '2019-06-07'),
(887, 332167, 21.38, 280, 160, 0, '2020-04-12'),
(8333, 938051, 7.34, 411, 454, 0, '2018-08-01'),
(1755, 271025, 169.34, 256, 1074, 0, '2012-11-13'),
(2376, 633450, 49.89, 101, 262, 2, '2013-11-25'),
(1248, 631475, 151.99, 227, 1162, 2, '2021-07-23'),
(1512, 777547, 44.2, 124, 669, 3, '2018-07-10'),
(3241, 80678, 29.74, 494, 508, 3, '2021-02-08'),
(7537, 144306, 37.59, 220, 823, 2, '2017-09-01'),
(9517, 477885, 155.71, 419, 882, 1, '2021-06-08'),
(6434, 414386, 126.26, 459, 247, 3, '2012-04-27'),
(9780, 78570, 77.42, 235, 877, 2, '2015-07-14'),
(7825, 578876, 56.07, 249, 1335, 2, '2015-07-29'),
(9266, 688532, 82.19, 331, 834, 1, '2013-04-12'),
(8934, 678797, 118.99, 437, 840, 3, '2011-08-09'),
(366, 263730, 134.11, 96, 944, 1, '2020-04-24'),
(2241, 872151, 167.37, 343, 1325, 0, '2014-05-23'),
(5823, 865347, 147.51, 300, 1360, 0, '2010-05-10'),
(3417, 576923, 67.31, 170, 256, 1, '2021-01-15'),
(1201, 136034, 90.22, 263, 476, 3, '2021-04-29'),
(8462, 375021, 80.12, 47, 888, 1, '2023-09-04'),
(5030, 592345, 20.36, 115, 1088, 3, '2018-12-27'),
(6461, 490823, 62.33, 358, 1031, 2, '2016-12-27'),
(7741, 151254, 39.54, 316, 401, 3, '2015-12-05'),
(371, 268036, 178.53, 18, 392, 3, '2023-03-24'),
(3351, 19741, 50.14, 290, 1034, 3, '2020-08-29'),
(1212, 34872, 47.86, 409, 738, 3, '2020-07-09'),
(1439, 758440, 60.28, 120, 908, 3, '2012-09-08'),
(5559, 553243, 32.76, 47, 596, 1, '2020-08-18'),
(9765, 839055, 74.45, 114, 1202, 2, '2010-06-20'),
(6193, 464638, 3.91, 337, 328, 1, '2010-02-14'),
(3497, 169462, 114.35, 413, 1109, 1, '2013-02-06'),
(8430, 320345, 71.01, 61, 1161, 3, '2023-09-04'),
(1562, 940633, 71.46, 202, 1208, 2, '2010-04-09'),
(5835, 149759, 91.75, 179, 845, 2, '2016-09-01'),
(6436, 680210, 172.3, 139, 610, 1, '2016-09-28'),
(1515, 89131, 41.5, 408, 1198, 1, '2020-04-27'),
(6352, 574713, 181.76, 475, 349, 3, '2018-10-13'),
(967, 124753, 129.2, 333, 900, 2, '2022-11-19'),
(5483, 222463, 114.62, 83, 552, 1, '2018-01-23'),
(7973, 994685, 171.81, 196, 1292, 3, '2013-07-28'),
(5155, 124330, 157.46, 10, 662, 0, '2021-04-24'),
(2930, 770113, 5.05, 299, 784, 1, '2016-04-10'),
(588, 430176, 127.61, 334, 296, 2, '2023-02-09'),
(9320, 930802, 161.11, 249, 720, 2, '2023-05-11'),
(6048, 637544, 26.01, 206, 932, 2, '2010-03-01'),
(9174, 134293, 146.48, 60, 957, 2, '2016-04-16'),
(3225, 979226, 70.02, 212, 1285, 2, '2014-09-19'),
(1462, 908839, 171.49, 206, 748, 3, '2020-01-06'),
(3871, 352523, 143.52, 173, 869, 2, '2015-01-03'),
(7784, 674001, 96.33, 175, 367, 1, '2012-12-06'),
(4634, 590143, 174.39, 258, 1056, 1, '2016-08-12'),
(5897, 700606, 42.18, 273, 1275, 2, '2023-08-25'),
(9932, 211266, 168.24, 209, 1333, 0, '2021-02-27'),
(611, 713099, 145.83, 484, 278, 0, '2015-10-19'),
(3558, 132420, 10.87, 332, 1386, 0, '2021-03-07'),
(9408, 12621, 65.35, 303, 267, 1, '2020-12-13'),
(6254, 913307, 104.56, 471, 614, 2, '2012-06-20'),
(8758, 901604, 101.68, 306, 1075, 2, '2020-01-14'),
(5803, 867875, 30.29, 125, 1298, 1, '2022-03-04'),
(7763, 880549, 106.57, 48, 244, 0, '2010-09-06'),
(8779, 404525, 29.79, 37, 286, 3, '2014-06-26'),
(8677, 16819, 55.35, 14, 1254, 0, '2014-11-01'),
(8012, 301223, 112.92, 160, 1076, 1, '2022-04-01'),
(8088, 257961, 182.11, 12, 844, 2, '2014-04-30'),
(6214, 300862, 0.6, 12, 766, 0, '2023-09-02'),
(4020, 837633, 138.17, 470, 712, 0, '2015-06-12'),
(3884, 944277, 61.85, 148, 300, 0, '2017-02-12'),
(1874, 283241, 156.59, 86, 404, 3, '2019-11-29'),
(4398, 734137, 63.49, 313, 658, 3, '2023-05-15'),
(8640, 143839, 80.0, 247, 1305, 0, '2012-12-21'),
(5944, 540355, 17.42, 296, 1141, 3, '2020-04-20'),
(2791, 682549, 102.68, 46, 670, 3, '2015-05-30'),
(6438, 650934, 158.5, 432, 764, 2, '2010-03-06'),
(5738, 530933, 106.93, 99, 966, 2, '2011-09-07'),
(4255, 20505, 135.0, 351, 1261, 0, '2016-12-08'),
(3578, 275254, 4.18, 357, 1336, 0, '2021-12-06'),
(6433, 18765, 99.38, 133, 718, 1, '2016-06-11'),
